month,anomaly_c,Temp_C,Temp_F
1880-01-01,-0.18,13.82,56.88
1880-02-01,-0.25,13.75,56.75
1880-03-01,-0.09,13.91,57.04
1880-04-01,-0.16,13.84,56.91
1880-05-01,-0.1,13.9,57.02
1880-06-01,-0.21,13.79,56.82
1880-07-01,-0.18,13.82,56.88
1880-08-01,-0.1,13.9,57.02
1880-09-01,-0.15,13.85,56.93
1880-10-01,-0.24,13.76,56.77
1880-11-01,-0.22,13.78,56.8
1880-12-01,-0.18,13.82,56.88
1881-01-01,-0.2,13.8,56.84
1881-02-01,-0.14,13.86,56.95
1881-03-01,0.03,14.03,57.25
1881-04-01,0.05,14.05,57.29
1881-05-01,0.06,14.06,57.31
1881-06-01,-0.19,13.81,56.86
1881-07-01,0,14,57.2
1881-08-01,-0.04,13.96,57.13
1881-09-01,-0.15,13.85,56.93
1881-10-01,-0.22,13.78,56.8
1881-11-01,-0.19,13.81,56.86
1881-12-01,-0.07,13.93,57.07
1882-01-01,0.16,14.16,57.49
1882-02-01,0.14,14.14,57.45
1882-03-01,0.04,14.04,57.27
1882-04-01,-0.17,13.83,56.89
1882-05-01,-0.15,13.85,56.93
1882-06-01,-0.23,13.77,56.79
1882-07-01,-0.17,13.83,56.89
1882-08-01,-0.07,13.93,57.07
1882-09-01,-0.15,13.85,56.93
1882-10-01,-0.24,13.76,56.77
1882-11-01,-0.17,13.83,56.89
1882-12-01,-0.36,13.64,56.55
1883-01-01,-0.29,13.71,56.68
1883-02-01,-0.37,13.63,56.53
1883-03-01,-0.12,13.88,56.98
1883-04-01,-0.18,13.82,56.88
1883-05-01,-0.18,13.82,56.88
1883-06-01,-0.08,13.92,57.06
1883-07-01,-0.07,13.93,57.07
1883-08-01,-0.14,13.86,56.95
1883-09-01,-0.22,13.78,56.8
1883-10-01,-0.11,13.89,57
1883-11-01,-0.23,13.77,56.79
1883-12-01,-0.11,13.89,57
1884-01-01,-0.13,13.87,56.97
1884-02-01,-0.08,13.92,57.06
1884-03-01,-0.36,13.64,56.55
1884-04-01,-0.4,13.6,56.48
1884-05-01,-0.34,13.66,56.59
1884-06-01,-0.36,13.64,56.55
1884-07-01,-0.3,13.7,56.66
1884-08-01,-0.28,13.72,56.7
1884-09-01,-0.27,13.73,56.71
1884-10-01,-0.25,13.75,56.75
1884-11-01,-0.34,13.66,56.59
1884-12-01,-0.31,13.69,56.64
1885-01-01,-0.58,13.42,56.16
1885-02-01,-0.34,13.66,56.59
1885-03-01,-0.27,13.73,56.71
1885-04-01,-0.42,13.58,56.44
1885-05-01,-0.45,13.55,56.39
1885-06-01,-0.44,13.56,56.41
1885-07-01,-0.34,13.66,56.59
1885-08-01,-0.32,13.68,56.62
1885-09-01,-0.29,13.71,56.68
1885-10-01,-0.24,13.76,56.77
1885-11-01,-0.24,13.76,56.77
1885-12-01,-0.11,13.89,57
1886-01-01,-0.45,13.55,56.39
1886-02-01,-0.51,13.49,56.28
1886-03-01,-0.43,13.57,56.43
1886-04-01,-0.28,13.72,56.7
1886-05-01,-0.25,13.75,56.75
1886-06-01,-0.35,13.65,56.57
1886-07-01,-0.18,13.82,56.88
1886-08-01,-0.31,13.69,56.64
1886-09-01,-0.24,13.76,56.77
1886-10-01,-0.28,13.72,56.7
1886-11-01,-0.27,13.73,56.71
1886-12-01,-0.26,13.74,56.73
1887-01-01,-0.72,13.28,55.9
1887-02-01,-0.57,13.43,56.17
1887-03-01,-0.36,13.64,56.55
1887-04-01,-0.35,13.65,56.57
1887-05-01,-0.31,13.69,56.64
1887-06-01,-0.25,13.75,56.75
1887-07-01,-0.26,13.74,56.73
1887-08-01,-0.36,13.64,56.55
1887-09-01,-0.26,13.74,56.73
1887-10-01,-0.36,13.64,56.55
1887-11-01,-0.27,13.73,56.71
1887-12-01,-0.33,13.67,56.61
1888-01-01,-0.35,13.65,56.57
1888-02-01,-0.36,13.64,56.55
1888-03-01,-0.42,13.58,56.44
1888-04-01,-0.21,13.79,56.82
1888-05-01,-0.22,13.78,56.8
1888-06-01,-0.17,13.83,56.89
1888-07-01,-0.11,13.89,57
1888-08-01,-0.16,13.84,56.91
1888-09-01,-0.12,13.88,56.98
1888-10-01,0.01,14.01,57.22
1888-11-01,0.02,14.02,57.24
1888-12-01,-0.04,13.96,57.13
1889-01-01,-0.09,13.91,57.04
1889-02-01,0.16,14.16,57.49
1889-03-01,0.06,14.06,57.31
1889-04-01,0.09,14.09,57.36
1889-05-01,-0.01,13.99,57.18
1889-06-01,-0.1,13.9,57.02
1889-07-01,-0.08,13.92,57.06
1889-08-01,-0.21,13.79,56.82
1889-09-01,-0.24,13.76,56.77
1889-10-01,-0.26,13.74,56.73
1889-11-01,-0.34,13.66,56.59
1889-12-01,-0.29,13.71,56.68
1890-01-01,-0.42,13.58,56.44
1890-02-01,-0.45,13.55,56.39
1890-03-01,-0.4,13.6,56.48
1890-04-01,-0.3,13.7,56.66
1890-05-01,-0.4,13.6,56.48
1890-06-01,-0.25,13.75,56.75
1890-07-01,-0.28,13.72,56.7
1890-08-01,-0.39,13.61,56.5
1890-09-01,-0.37,13.63,56.53
1890-10-01,-0.25,13.75,56.75
1890-11-01,-0.44,13.56,56.41
1890-12-01,-0.32,13.68,56.62
1891-01-01,-0.34,13.66,56.59
1891-02-01,-0.47,13.53,56.35
1891-03-01,-0.18,13.82,56.88
1891-04-01,-0.27,13.73,56.71
1891-05-01,-0.17,13.83,56.89
1891-06-01,-0.21,13.79,56.82
1891-07-01,-0.18,13.82,56.88
1891-08-01,-0.18,13.82,56.88
1891-09-01,-0.16,13.84,56.91
1891-10-01,-0.22,13.78,56.8
1891-11-01,-0.32,13.68,56.62
1891-12-01,-0.05,13.95,57.11
1892-01-01,-0.3,13.7,56.66
1892-02-01,-0.12,13.88,56.98
1892-03-01,-0.41,13.59,56.46
